iter	Passed	Remaining
399	56578	14144
400	56717	14002
401	56856	13860
402	56996	13718
403	57139	13577
404	57281	13436
405	57424	13295
406	57564	13153
407	57707	13012
408	57844	12870
409	57984	12728
410	58124	12586
411	58262	12444
412	58401	12302
413	58541	12160
414	58681	12019
415	58823	11877
416	58964	11736
417	59112	11596
418	59265	11456
419	59411	11316
420	59551	11174
421	59693	11033
422	59828	10890
423	59968	10749
424	60111	10607
425	60249	10465
426	60387	10323
427	60527	10182
428	60666	10040
429	60806	9898
430	60945	9756
431	61083	9615
432	61225	9473
433	61367	9332
434	61510	9191
435	61649	9049
436	61788	8907
437	61926	8765
438	62067	8624
439	62204	8482
440	62345	8341
441	62499	8201
442	62651	8061
443	62793	7919
444	62934	7778
445	63075	7636
446	63212	7494
447	63352	7353
448	63491	7211
449	63633	7070
450	63772	6928
451	63916	6787
452	64055	6645
453	64194	6504
454	64334	6362
455	64472	6221
456	64610	6079
457	64750	5937
458	64888	5796
459	65029	5654
460	65171	5513
461	65309	5371
462	65449	5230
463	65588	5088
464	65742	4948
465	65896	4807
466	66036	4666
467	66175	4524
468	66316	4383
469	66455	4241
470	66596	4100
471	66736	3958
472	66877	3817
473	67017	3676
474	67155	3534
475	67295	3393
476	67431	3251
477	67572	3110
478	67712	2968
479	67854	2827
480	67990	2685
481	68128	2544
482	68265	2402
483	68403	2261
484	68544	2119
485	68686	1978
486	68825	1837
487	68972	1696
488	69122	1554
489	69269	1413
490	69408	1272
491	69550	1130
492	69691	989
493	69830	848
494	69969	706
495	70113	565
496	70250	424
497	70390	282
498	70531	141
499	70668	0
